Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 271 hasn't lived for 192 cycles (CTD 186)
Process 262 hasn't lived for 247 cycles (CTD 186)
Process 253 hasn't lived for 257 cycles (CTD 186)
Process 252 hasn't lived for 242 cycles (CTD 186)
Process 242 hasn't lived for 202 cycles (CTD 186)
Process 232 hasn't lived for 242 cycles (CTD 186)
Process 218 hasn't lived for 187 cycles (CTD 186)
Process 205 hasn't lived for 188 cycles (CTD 186)
Process 204 hasn't lived for 217 cycles (CTD 186)
Process 202 hasn't lived for 237 cycles (CTD 186)
Process 197 hasn't lived for 238 cycles (CTD 186)
Process 195 hasn't lived for 197 cycles (CTD 186)
Process 187 hasn't lived for 237 cycles (CTD 186)
Process 184 hasn't lived for 222 cycles (CTD 186)
Process 173 hasn't lived for 262 cycles (CTD 186)
Process 159 hasn't lived for 232 cycles (CTD 186)
Process 154 hasn't lived for 272 cycles (CTD 186)
Process 144 hasn't lived for 217 cycles (CTD 186)
Process 135 hasn't lived for 218 cycles (CTD 186)
Process 134 hasn't lived for 257 cycles (CTD 186)
Process 123 hasn't lived for 258 cycles (CTD 186)
Process 119 hasn't lived for 267 cycles (CTD 186)
Process 118 hasn't lived for 252 cycles (CTD 186)
Process 108 hasn't lived for 212 cycles (CTD 186)
Process 98 hasn't lived for 252 cycles (CTD 186)
Process 91 hasn't lived for 227 cycles (CTD 186)
Process 89 hasn't lived for 247 cycles (CTD 186)
Process 84 hasn't lived for 268 cycles (CTD 186)
Process 82 hasn't lived for 207 cycles (CTD 186)
Process 80 hasn't lived for 192 cycles (CTD 186)
Process 74 hasn't lived for 247 cycles (CTD 186)
Process 71 hasn't lived for 232 cycles (CTD 186)
Process 64 hasn't lived for 242 cycles (CTD 186)
Process 57 hasn't lived for 187 cycles (CTD 186)
Process 50 hasn't lived for 223 cycles (CTD 186)
Process 49 hasn't lived for 227 cycles (CTD 186)
Process 41 hasn't lived for 262 cycles (CTD 186)
Process 31 hasn't lived for 222 cycles (CTD 186)
Process 29 hasn't lived for 237 cycles (CTD 186)
Process 27 hasn't lived for 257 cycles (CTD 186)
Process 20 hasn't lived for 217 cycles (CTD 186)
Process 17 hasn't lived for 252 cycles (CTD 186)
Process 11 hasn't lived for 233 cycles (CTD 186)
Process 6 hasn't lived for 247 cycles (CTD 186)
Process 1435 hasn't lived for 174 cycles (CTD 136)
Process 1409 hasn't lived for 214 cycles (CTD 136)
Process 1390 hasn't lived for 184 cycles (CTD 136)
Process 1374 hasn't lived for 224 cycles (CTD 136)
Process 1261 hasn't lived for 218 cycles (CTD 136)
Process 1250 hasn't lived for 258 cycles (CTD 136)
Process 1196 hasn't lived for 164 cycles (CTD 136)
Process 1176 hasn't lived for 204 cycles (CTD 136)
Process 1165 hasn't lived for 148 cycles (CTD 136)
Process 1154 hasn't lived for 244 cycles (CTD 136)
Process 1114 hasn't lived for 174 cycles (CTD 136)
Process 1113 hasn't lived for 213 cycles (CTD 136)
Process 1104 hasn't lived for 214 cycles (CTD 136)
Process 1103 hasn't lived for 253 cycles (CTD 136)
Process 1098 hasn't lived for 158 cycles (CTD 136)
Process 1085 hasn't lived for 198 cycles (CTD 136)
Process 1070 hasn't lived for 238 cycles (CTD 136)
Process 1023 hasn't lived for 143 cycles (CTD 136)
Process 1002 hasn't lived for 144 cycles (CTD 136)
Process 976 hasn't lived for 208 cycles (CTD 136)
Process 966 hasn't lived for 248 cycles (CTD 136)
Process 964 hasn't lived for 153 cycles (CTD 136)
Process 953 hasn't lived for 154 cycles (CTD 136)
Process 952 hasn't lived for 193 cycles (CTD 136)
Process 939 hasn't lived for 194 cycles (CTD 136)
Process 938 hasn't lived for 233 cycles (CTD 136)
Process 931 hasn't lived for 138 cycles (CTD 136)
Process 923 hasn't lived for 234 cycles (CTD 136)
Process 914 hasn't lived for 178 cycles (CTD 136)
Process 895 hasn't lived for 218 cycles (CTD 136)
Process 886 hasn't lived for 138 cycles (CTD 136)
Process 860 hasn't lived for 243 cycles (CTD 136)
Process 858 hasn't lived for 148 cycles (CTD 136)
Process 855 hasn't lived for 244 cycles (CTD 136)
Process 853 hasn't lived for 203 cycles (CTD 136)
Process 851 hasn't lived for 188 cycles (CTD 136)
Process 845 hasn't lived for 243 cycles (CTD 136)
Process 842 hasn't lived for 228 cycles (CTD 136)
Process 838 hasn't lived for 148 cycles (CTD 136)
Process 826 hasn't lived for 188 cycles (CTD 136)
Process 812 hasn't lived for 228 cycles (CTD 136)
Process 794 hasn't lived for 173 cycles (CTD 136)
Process 777 hasn't lived for 174 cycles (CTD 136)
Process 776 hasn't lived for 213 cycles (CTD 136)
Process 757 hasn't lived for 214 cycles (CTD 136)
Process 745 hasn't lived for 238 cycles (CTD 136)
Process 744 hasn't lived for 143 cycles (CTD 136)
Process 739 hasn't lived for 144 cycles (CTD 136)
Process 738 hasn't lived for 183 cycles (CTD 136)
Process 731 hasn't lived for 184 cycles (CTD 136)
Process 730 hasn't lived for 223 cycles (CTD 136)
Process 729 hasn't lived for 143 cycles (CTD 136)
